Age,Working class,Education,Marital status,Occupation,Relationship,Race,Sex,Hours per week,Country,Salary
18, State-gov, 11th, Never-married, Adm-clerical, Own-child, White, Female,5, United-States, <=50K
23, State-gov, Bachelors, Never-married, Tech-support, Not-in-family, White, Female,20, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, White, Female,20, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Other-relative, White, Male,25, United-States, <=50K
19, State-gov, HS-grad, Never-married, Tech-support, Own-child, White, Female,40, United-States, <=50K
22, Private, Bachelors, Never-married, Prof-specialty, Unmarried, White, Male,20, United-States, <=50K
23, Private, HS-grad, Never-married, Transport-moving, Unmarried, White, Male,50, United-States, <=50K
18, Private, 12th, Never-married, Machine-op-inspct, Own-child, White, Male,30, United-States, <=50K
21, ?, HS-grad, Never-married, ?, Not-in-family, White, Female,40, United-States, <=50K
23, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,40, United-States, <=50K
25, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Black, Male,40, United-States, <=50K
24, Private, HS-grad, Never-married, Other-service, Own-child, Black, Male,30, United-States, <=50K
20, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,30, United-States, <=50K
24, Self-emp-inc, Bachelors, Never-married, Sales, Own-child, White, Male,40, United-States, <=50K
25, Private, HS-grad, Divorced, Adm-clerical, Not-in-family, White, Male,40, United-States, <=50K
24, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,50, United-States, <=50K
18, Private, 11th, Never-married, Adm-clerical, Own-child, White, Female,20, United-States, <=50K
21, Private, 10th, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States, <=50K
23, Private, HS-grad, Never-married, Handlers-cleaners, Unmarried, Black, Female,7, United-States, <=50K
19, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,30, United-States, <=50K
23, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Male,28, United-States, <=50K
22, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Female,50, United-States, <=50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,40, United-States, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Own-child, Black, Male,15, United-States, <=50K
23, Private, HS-grad, Never-married, Sales, Own-child, Black, Male,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,45, United-States, <=50K
20, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,20, United-States, <=50K
20, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,20, United-States, <=50K
23, ?, HS-grad, Never-married, ?, Unmarried, Black, Female,40, United-States, <=50K
23, Local-gov, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,60, United-States, <=50K
22, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K
19, ?, HS-grad, Never-married, ?, Own-child, White, Male,30, United-States, <=50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Unmarried, Black, Female,40, United-States, <=50K
19, ?, HS-grad, Never-married, ?, Unmarried, White, Male,40, United-States, <=50K
22, Local-gov, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,20, United-States, <=50K
19, Local-gov, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,35, United-States, <=50K
19, ?, HS-grad, Never-married, ?, Own-child, White, Female,40, United-States, <=50K
25, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,30, United-States, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,28, United-States, <=50K
25, Private, Masters, Married-civ-spouse, Farming-fishing, Not-in-family, White, Male,99, United-States, >50K
24, Local-gov, 11th, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,45, United-States, <=50K
24, State-gov, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,65, United-States, <=50K
25, Private, HS-grad, Never-married, Tech-support, Not-in-family, Black, Female,40, United-States, <=50K
22, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
24, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,40, United-States, <=50K
24, Private, HS-grad, Never-married, Sales, Own-child, Black, Female,20, United-States, <=50K
25, Private, HS-grad, Never-married, Machine-op-inspct, Other-relative, White, Male,40, United-States, <=50K
23, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Black, Male,35, United-States, <=50K
22, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,24, United-States, <=50K
20, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Male,40, United-States, <=50K
23, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,50, United-States, <=50K
25, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,45, United-States, <=50K
19, Federal-gov, HS-grad, Never-married, Adm-clerical, Unmarried, Black, Female,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Other-service, Husband, White, Male,45, United-States, >50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Not-in-family, White, Male,40, United-States, <=50K
25, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,50, United-States, <=50K
25, Private, HS-grad, Divorced, Craft-repair, Not-in-family, White, Male,45, United-States, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Male,40, United-States, <=50K
25, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,25, United-States, <=50K
25, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Male,40, United-States, <=50K
22, Private, 10th, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,40, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,40, United-States, <=50K
23, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Male,30, United-States, <=50K
25, Private, HS-grad, Never-married, Transport-moving, Not-in-family, White, Male,65, United-States, <=50K
18, Private, 12th, Never-married, Handlers-cleaners, Own-child, White, Male,6, United-States, <=50K
22, Private, HS-grad, Never-married, Exec-managerial, Own-child, White, Female,20, United-States, <=50K
23, Private, Bachelors, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
19, Private, 11th, Never-married, Machine-op-inspct, Own-child, White, Male,60, United-States, <=50K
24, Private, Bachelors, Never-married, Sales, Not-in-family, White, Male,50, United-States, <=50K
20, Self-emp-not-inc, HS-grad, Never-married, Transport-moving, Own-child, White, Male,80, United-States, <=50K
25, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,40, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, White, Male,50, United-States, <=50K
21, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,30, United-States, <=50K
24, Private, Masters, Never-married, Exec-managerial, Own-child, White, Male,90, United-States, <=50K
21, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,16, United-States, <=50K
20, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
25, Private, Bachelors, Married-civ-spouse, Exec-managerial, Own-child, White, Female,40, United-States, <=50K
24, Private, HS-grad, Never-married, Handlers-cleaners, Other-relative, Black, Male,40, United-States, <=50K
23, Private, 11th, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Male,40, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
21, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States, <=50K
23, Private, 9th, Never-married, Handlers-cleaners, Own-child, Black, Male,36, United-States, <=50K
25, Local-gov, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,8, United-States, <=50K
23, Private, HS-grad, Divorced, Sales, Not-in-family, White, Male,40, United-States, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Other-relative, White, Male,40, United-States, <=50K
23, ?, Bachelors, Never-married, ?, Own-child, White, Male,35, United-States, <=50K
22, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,45, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,45, United-States, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,50, United-States, <=50K
25, Local-gov, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,35, United-States, <=50K
20, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,40, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Tech-support, Other-relative, White, Female,48, United-States, >50K
25, Private, HS-grad, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, <=50K
24, Local-gov, HS-grad, Divorced, Protective-serv, Unmarried, Black, Female,40, United-States, <=50K
18, Local-gov, 11th, Never-married, Adm-clerical, Other-relative, White, Female,25, United-States, <=50K
21, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K
23, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,40, United-States, <=50K
24, Private, 7th-8th, Married-civ-spouse, Craft-repair, Husband, White, Male,38, United-States, <=50K
23, Private, 11th, Never-married, Craft-repair, Own-child, White, Male,40, United-States, <=50K
23, ?, Bachelors, Never-married, ?, Not-in-family, White, Female,50, United-States, <=50K
23, Private, Bachelors, Never-married, Exec-managerial, Unmarried, White, Male,40, United-States, <=50K
23, ?, HS-grad, Never-married, ?, Not-in-family, White, Male,30, United-States, <=50K
24, Private, Bachelors, Married-spouse-absent, Prof-specialty, Own-child, White, Female,40, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Other-relative, Black, Male,20, United-States, <=50K
20, Private, HS-grad, Never-married, Sales, Not-in-family, White, Female,40, United-States, <=50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,30, United-States, <=50K
22, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,40, United-States, <=50K
25, Federal-gov, HS-grad, Never-married, Adm-clerical, Own-child, Black, Male,40, United-States, <=50K
19, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,45, United-States, <=50K
25, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,36, United-States, <=50K
25, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Male,40, United-States, <=50K
20, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Female,40, United-States, <=50K
23, Private, HS-grad, Never-married, Protective-serv, Own-child, Black, Male,16, United-States, <=50K
25, Private, Bachelors, Never-married, Tech-support, Own-child, White, Male,40, United-States, <=50K
24, Private, HS-grad, Never-married, Sales, Own-child, White, Male,45, United-States, <=50K
25, Self-emp-not-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
18, Private, 11th, Never-married, Prof-specialty, Own-child, White, Female,40, United-States, <=50K
24, Private, Bachelors, Never-married, Machine-op-inspct, Not-in-family, White, Male,65, United-States, <=50K
25, Private, Bachelors, Never-married, Adm-clerical, Own-child, White, Female,40, United-States, <=50K
22, Private, 10th, Never-married, Craft-repair, Not-in-family, White, Male,30, United-States, <=50K
23, Private, 7th-8th, Never-married, Craft-repair, Own-child, Black, Male,40, United-States, <=50K
23, State-gov, Bachelors, Never-married, Tech-support, Not-in-family, White, Male,22, United-States, <=50K
20, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,25, United-States, <=50K
25, Private, HS-grad, Never-married, Transport-moving, Own-child, White, Male,40, United-States, <=50K
18, ?, 11th, Never-married, ?, Own-child, White, Male,27, United-States, <=50K
23, Private, Bachelors, Never-married, Sales, Not-in-family, White, Female,45, United-States, <=50K
18, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Female,15, United-States, <=50K
18, ?, 11th, Never-married, ?, Own-child, White, Male,15, United-States, <=50K
22, Self-emp-not-inc, HS-grad, Never-married, Craft-repair, Other-relative, White, Male,20, United-States, <=50K
22, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,55, United-States, <=50K
23, Self-emp-not-inc, 11th, Married-civ-spouse, Transport-moving, Husband, White, Male,60, United-States, >50K
22, Private, 10th, Never-married, Transport-moving, Own-child, White, Male,25, United-States, <=50K
23, Private, HS-grad, Never-married, Tech-support, Own-child, White, Female,40, United-States, <=50K
21, Private, 11th, Never-married, Other-service, Unmarried, Black, Female,40, United-States, <=50K
18, Private, 9th, Never-married, Handlers-cleaners, Own-child, White, Male,40, United-States, <=50K
20, ?, 10th, Never-married, ?, Own-child, White, Male,40, United-States, <=50K
22, Private, HS-grad, Never-married, Transport-moving, Own-child, Black, Male,40, United-States, <=50K
25, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,40, United-States, <=50K
20, Private, HS-grad, Divorced, Sales, Not-in-family, Black, Female,40, United-States, <=50K
22, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,55, United-States, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,45, United-States, <=50K
25, Private, 12th, Never-married, Machine-op-inspct, Not-in-family, White, Male,40, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, White, Female,35, United-States, <=50K
24, Self-emp-not-inc, Bachelors, Never-married, Sales, Not-in-family, White, Male,40, United-States, <=50K
19, Private, HS-grad, Never-married, Sales, Own-child, White, Male,3, United-States, <=50K
20, Private, 10th, Never-married, Sales, Not-in-family, Other, Male,40, United-States, <=50K
24, Self-emp-not-inc, HS-grad, Married-civ-spouse, Adm-clerical, Wife, White, Female,40, United-States, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, <=50K
23, Private, 11th, Never-married, Transport-moving, Own-child, White, Female,38, United-States, <=50K
18, Private, 11th, Never-married, Adm-clerical, Not-in-family, White, Male,40, United-States, <=50K
18, Private, 11th, Never-married, Craft-repair, Own-child, White, Male,20, United-States, <=50K
20, Private, HS-grad, Never-married, Protective-serv, Own-child, Black, Male,40, United-States, <=50K
25, Private, 12th, Married-civ-spouse, Other-service, Wife, White, Female,40, United-States, <=50K
18, Local-gov, 12th, Never-married, Protective-serv, Own-child, White, Male,40, United-States, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Male,40, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, <=50K
24, State-gov, Masters, Never-married, Prof-specialty, Not-in-family, White, Male,13, United-States, <=50K
19, Private, 10th, Never-married, Sales, Unmarried, Black, Female,40, United-States, <=50K
23, Private, 10th, Never-married, Craft-repair, Own-child, Black, Female,40, United-States, <=50K
24, Private, HS-grad, Divorced, Exec-managerial, Not-in-family, White, Female,45, United-States, >50K
18, Private, 10th, Never-married, Handlers-cleaners, Own-child, White, Male,27, United-States, <=50K
18, Private, 11th, Never-married, Sales, Other-relative, Amer-Indian-Eskimo, Female,25, United-States, <=50K
25, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, Black, Male,30, United-States, <=50K
19, Private, HS-grad, Never-married, Machine-op-inspct, Other-relative, White, Male,45, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
25, Private, Masters, Never-married, Sales, Not-in-family, White, Male,20, United-States, <=50K
24, Private, Bachelors, Never-married, Craft-repair, Not-in-family, White, Female,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Female,40, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Own-child, Black, Female,40, United-States, <=50K
18, Private, HS-grad, Never-married, Sales, Own-child, White, Female,24, United-States, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,43, United-States, <=50K
18, ?, 11th, Never-married, ?, Own-child, White, Male,36, United-States, <=50K
22, ?, HS-grad, Never-married, ?, Other-relative, White, Female,40, United-States, <=50K
24, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Male,40, United-States, <=50K
18, Private, 11th, Never-married, Other-service, Own-child, White, Male,20, United-States, <=50K
23, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Female,40, United-States, <=50K
20, Private, HS-grad, Never-married, Other-service, Not-in-family, White, Male,40, United-States, <=50K
24, Private, 11th, Never-married, Craft-repair, Own-child, White, Male,35, United-States, <=50K
21, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,35, United-States, <=50K
22, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,40, United-States, <=50K
24, Federal-gov, HS-grad, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,40, United-States, <=50K
24, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,40, United-States, <=50K
24, Private, HS-grad, Divorced, Sales, Not-in-family, White, Female,38, United-States, <=50K
18, Private, 10th, Never-married, Sales, Own-child, White, Male,10, United-States, <=50K
22, Private, 10th, Divorced, Craft-repair, Own-child, White, Male,40, United-States, <=50K
18, Local-gov, 12th, Never-married, Prof-specialty, Own-child, White, Male,30, United-States, <=50K
25, Private, 12th, Never-married, Handlers-cleaners, Unmarried, White, Male,43, United-States, <=50K
25, Self-emp-not-inc, Bachelors, Never-married, Prof-specialty, Own-child, White, Male,30, United-States, <=50K
22, Private, 11th, Never-married, Other-service, Other-relative, White, Male,40, United-States, <=50K
19, Federal-gov, HS-grad, Married-AF-spouse, Sales, Wife, White, Female,40, United-States, <=50K
21, Private, HS-grad, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, <=50K
24, Private, 11th, Never-married, Machine-op-inspct, Unmarried, White, Female,40, United-States, <=50K
23, Private, 7th-8th, Never-married, Craft-repair, Other-relative, White, Male,36, United-States, <=50K
23, Private, Bachelors, Never-married, Machine-op-inspct, Own-child, White, Male,25, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,40, United-States, <=50K
25, Private, HS-grad, Never-married, Sales, Unmarried, Black, Female,35, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K
18, ?, HS-grad, Never-married, ?, Own-child, White, Male,10, United-States, <=50K
22, ?, HS-grad, Married-civ-spouse, ?, Wife, White, Female,22, United-States, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,50, United-States, <=50K
22, Private, 9th, Never-married, Handlers-cleaners, Other-relative, White, Male,30, United-States, <=50K
23, Private, Bachelors, Never-married, Other-service, Own-child, White, Female,30, United-States, <=50K
21, Private, HS-grad, Never-married, Farming-fishing, Own-child, White, Male,65, United-States, <=50K
24, Private, HS-grad, Never-married, Sales, Own-child, White, Female,32, United-States, <=50K
25, Private, HS-grad, Never-married, Handlers-cleaners, Other-relative, White, Male,35, United-States, <=50K
22, ?, HS-grad, Never-married, ?, Unmarried, Black, Female,35, United-States, <=50K
24, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, <=50K
18, Private, 12th, Never-married, Sales, Own-child, White, Female,35, United-States, <=50K
24, Federal-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,40, United-States, <=50K
24, Private, HS-grad, Never-married, Adm-clerical, Own-child, White, Male,40, United-States, <=50K
25, Private, Bachelors, Never-married, Exec-managerial, Own-child, White, Male,55, United-States, <=50K
24, State-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,15, United-States, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, Black, Male,40, United-States, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,45, United-States, <=50K
21, Private, HS-grad, Never-married, Craft-repair, Own-child, White, Male,40, United-States, <=50K
23, ?, Bachelors, Never-married, ?, Own-child, Other, Male,40, United-States, <=50K
19, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,50, United-States, <=50K
21, ?, HS-grad, Married-civ-spouse, ?, Wife, Black, Female,30, United-States, <=50K
19, Private, HS-grad, Never-married, Other-service, Own-child, White, Male,20, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male,45, United-States, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,38, United-States, <=50K
20, Private, HS-grad, Never-married, Machine-op-inspct, Own-child, White, Male,40, United-States, <=50K
25, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Own-child, White, Female,30, United-States, <=50K
20, Private, HS-grad, Never-married, Handlers-cleaners, Not-in-family, White, Male,43, United-States, <=50K
18, ?, HS-grad, Never-married, ?, Other-relative, Other, Female,12, United-States, <=50K
21, ?, HS-grad, Never-married, ?, Unmarried, White, Female,40, United-States, <=50K
25, Local-gov, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,40, United-States, <=50K
23, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,40, United-States, <=50K
18, Private, 11th, Never-married, Sales, Own-child, White, Male,35, United-States, <=50K
25, Private, Bachelors, Never-married, Exec-managerial, Not-in-family, White, Female,40, United-States, >50K
18, Private, 11th, Never-married, Other-service, Other-relative, Black, Male,15, United-States, <=50K
20, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,50, United-States, <=50K
25, Local-gov, Masters, Never-married, Protective-serv, Not-in-family, White, Male,40, United-States, <=50K
21, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, White, Male,20, United-States, <=50K
24, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States, <=50K
18, Private, HS-grad, Never-married, Other-service, Other-relative, Black, Male,36, United-States, <=50K
23, Private, HS-grad, Never-married, Handlers-cleaners, Own-child, Black, Female,16, United-States, <=50K
25, Private, Bachelors, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K
24, Local-gov, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,50, United-States, <=50K
24, Private, Bachelors, Never-married, Prof-specialty, Not-in-family, White, Male,40, United-States, <=50K
23, Private, HS-grad, Never-married, Tech-support, Not-in-family, White, Female,40, United-States, <=50K
19, ?, HS-grad, Never-married, ?, Own-child, White, Female,12, United-States, <=50K
25, Self-emp-not-inc, HS-grad, Never-married, Other-service, Other-relative, White, Male,32, United-States, <=50K
19, Private, Bachelors, Never-married, Prof-specialty, Own-child, White, Female,30, United-States, <=50K
